TRANSACTIONID,FLIGHTDATE,AIRLINECODE,AIRLINENAME,TAILNUM,FLIGHTNUM,ORIGINAIRPORTCODE,ORIGAIRPORTNAME,ORIGINCITYNAME,ORIGINSTATE,ORIGINSTATENAME,DESTAIRPORTCODE,DESTAIRPORTNAME,DESTCITYNAME,DESTSTATE,DESTSTATENAME,CRSDEPTIME,DEPTIME,DEPDELAY,TAXIOUT,WHEELSOFF,WHEELSON,TAXIIN,CRSARRTIME,ARRTIME,ARRDELAY,CRSELAPSEDTIME,ACTUALELAPSEDTIME,DISTANCE,DISTANCEGROUP,DEPDELAYGT15,NEXTDAYARR
58103000,2002-09-01,CO,Continental Air Lines Inc.,N14308,558,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,IAH, George Bush Intercontinental/Houston,Houston,TX,Texas,1140,1135,-5,12,1147,1425,8,1446,1433,-13,126,118,744 miles,701-800 miles,0,0
58315800,2002-09-01,WN,Southwest Airlines Co.,N678,1190,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,PHX, Phoenix Sky Harbor International,Phoenix,AZ,Arizona,2135,2135,0,7,2142,2135,5,2150,2140,-10,75,65,328 miles,301-400 miles,0,0
58323900,2002-09-02,WN,Southwest Airlines Co.,N647,777,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,HOU, William P Hobby,Houston,TX,Texas,1305,1320,15,6,1326,1608,6,1605,1614,9,120,114,759 miles,701-800 miles,0,0
59295600,2002-09-02,HP,America West Airlines Inc.: HP (Merged with US Airways 9/05.Stopped reporting 10/,N334AW,767,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,PHX, Phoenix Sky Harbor International,Phoenix,AZ,Arizona,1215,1215,0,9,1224,1215,6,1235,1221,-14,80,66,328 miles,301-400 miles,0,0
58334100,2002-09-03,WN,Southwest Airlines Co.,N640,301,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,LAS, McCarran International,Las Vegas,NV,Nevada,0635,0635,0,10,0645,0658,2,0705,0700,-5,90,85,487 miles,401-500 miles,0,0
59267600,2002-09-04,DL,Delta Air Lines Inc.,N37700,2098,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,ATL, Hartsfield-Jackson Atlanta International,Atlanta,GA,Georgia,0645,0644,-1,10,0654,1122,8,1136,1130,-6,171,166,1269 miles,1201-1300 miles,0,0
58345200,2002-09-04,WN,Southwest Airlines Co.,N700,1547,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,LAS, McCarran International,Las Vegas,NV,Nevada,0930,0930,0,12,0942,0957,1,1000,0958,-2,90,88,487 miles,401-500 miles,0,0
58102800,2002-09-05,CO,Continental Air Lines Inc.,N69333,226,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,IAH, George Bush Intercontinental/Houston,Houston,TX,Texas,0700,0652,-8,11,0703,0945,6,1001,0951,-10,121,119,744 miles,701-800 miles,0,0
58356300,2002-09-05,WN,Southwest Airlines Co.,N326,530,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,LAX, Los Angeles International,Los Angeles,CA,California,0635,0635,0,7,0642,0722,5,0735,0727,-8,120,112,677 miles,601-700 miles,0,0
58356400,2002-09-05,WN,Southwest Airlines Co.,N683,1401,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,PHX, Phoenix Sky Harbor International,Phoenix,AZ,Arizona,1515,1515,0,9,1524,1517,3,1535,1520,-15,80,65,328 miles,301-400 miles,0,0
58367400,2002-09-06,WN,Southwest Airlines Co.,N718,2038,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,LAX, Los Angeles International,Los Angeles,CA,California,0940,0940,0,15,0955,1034,4,1045,1038,-7,125,118,677 miles,601-700 miles,0,0
58709800,2002-09-06,NW,Northwest Airlines Inc.,N326US,624,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,MSP, Minneapolis-St Paul International,Minneapolis,MN,Minnesota,0835,0831,-4,13,0844,1157,2,1201,1159,-2,146,148,981 miles,901-1000 miles,0,0
58710400,2002-09-06,NW,Northwest Airlines Inc.,N373NW,628,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,MSP, Minneapolis-St Paul International,Minneapolis,MN,Minnesota,1410,1406,-4,12,1418,1729,4,1742,1733,-9,152,147,981 miles,901-1000 miles,0,0
59426900,2002-09-07,MQ,Envoy Air,N822MQ,3922,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,DFW, Dallas/Fort Worth International,Dallas/Fort Worth,TX,Texas,1202,1156,-6,11,1207,1426,13,1446,1439,-7,104,103,569 miles,501-600 miles,0,0
58869600,2002-09-07,UA,United Air Lines Inc.,N913UA,498,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,DEN, Denver International,Denver,CO,Colorado,0615,0609,-6,10,0619,0710,7,0725,0717,-8,70,68,349 miles,301-400 miles,0,0
58378400,2002-09-07,WN,Southwest Airlines Co.,N722,803,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,ELP, El Paso International,El Paso,TX,Texas,1110,1110,0,4,1114,1151,4,1200,1155,-5,50,45,223 miles,201-300 miles,0,0
58378500,2002-09-07,WN,Southwest Airlines Co.,N330,1168,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,OAK, Metropolitan Oakland International,Oakland,CA,California,0845,0845,0,7,0852,0959,3,1010,1002,-8,145,137,889 miles,801-900 miles,0,0
58387500,2002-09-08,WN,Southwest Airlines Co.,N687,1661,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,LAX, Los Angeles International,Los Angeles,CA,California,2130,2130,0,10,2140,2215,5,2235,2220,-15,125,110,677 miles,601-700 miles,0,0
58387600,2002-09-08,WN,Southwest Airlines Co.,N340,2555,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,PHX, Phoenix Sky Harbor International,Phoenix,AZ,Arizona,1445,1445,0,5,1450,1445,5,1500,1450,-10,75,65,328 miles,301-400 miles,0,0
58397900,2002-09-09,WN,Southwest Airlines Co.,N728,1612,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,MDW, Chicago Midway International,Chicago,IL,Illinois,0950,0950,0,5,0955,1312,5,1350,1317,-33,180,147,1121 miles,1101-1200 miles,0,0
58397800,2002-09-09,WN,Southwest Airlines Co.,N508,967,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,ELP, El Paso International,El Paso,TX,Texas,1745,1745,0,10,1755,1833,5,1840,1838,-2,55,53,223 miles,201-300 miles,0,0
58408900,2002-09-10,WN,Southwest Airlines Co.,N617,301,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,LAS, McCarran International,Las Vegas,NV,Nevada,0635,0635,0,10,0645,0700,3,0705,0703,-2,90,88,487 miles,401-500 miles,0,0
57856400,2002-09-11,AA,American Airlines Inc.,N526AA,1022,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,DFW, Dallas/Fort Worth International,Dallas/Fort Worth,TX,Texas,0900,0848,-12,9,0857,1123,9,1146,1132,-14,106,104,569 miles,501-600 miles,0,0
58420000,2002-09-11,WN,Southwest Airlines Co.,N730,1547,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,LAS, McCarran International,Las Vegas,NV,Nevada,0930,0930,0,5,0935,0945,2,1000,0947,-13,90,77,487 miles,401-500 miles,0,0
58420100,2002-09-11,WN,Southwest Airlines Co.,N682,979,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,PHX, Phoenix Sky Harbor International,Phoenix,AZ,Arizona,1610,1610,0,7,1617,1607,3,1630,1610,-20,80,60,328 miles,301-400 miles,0,0
58036500,2002-09-11,AA,American Airlines Inc.,N4WWAA,3062,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,STL, Lambert-St. Louis International,St. Louis,MO,Missouri,1520,1518,-2,7,1525,1818,4,1838,1822,-16,138,124,934 miles,901-1000 miles,0,0
58442100,2002-09-13,WN,Southwest Airlines Co.,N753,1604,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,BWI, Baltimore/Washington International Thurgood Marshall,Baltimore,MD,Maryland,1525,1525,0,5,1530,2040,5,2115,2045,-30,230,200,1670 miles,1601-1700 miles,0,0
58442200,2002-09-13,WN,Southwest Airlines Co.,N725,2038,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,LAX, Los Angeles International,Los Angeles,CA,California,0940,0945,5,13,0958,1038,10,1045,1048,3,125,123,677 miles,601-700 miles,0,0
58442300,2002-09-13,WN,Southwest Airlines Co.,N361,2152,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,PHX, Phoenix Sky Harbor International,Phoenix,AZ,Arizona,1330,1330,0,10,1340,1330,5,1350,1335,-15,80,65,328 miles,301-400 miles,0,0
58453300,2002-09-14,WN,Southwest Airlines Co.,N685,1168,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,OAK, Metropolitan Oakland International,Oakland,CA,California,0845,0845,0,7,0852,0958,3,1010,1001,-9,145,136,889 miles,801-900 miles,0,0
58462200,2002-09-15,WN,Southwest Airlines Co.,N105,375,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,DAL, Dallas Love Field,Dallas,TX,Texas,2020,2139,79,6,2145,0007,3,2250,0010,80,90,91,580 miles,501-600 miles,1,1
57815500,2002-09-15,AA,American Airlines Inc.,N521AA,530,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,DFW, Dallas/Fort Worth International,Dallas/Fort Worth,TX,Texas,1650,1646,-4,20,1706,1930,15,1942,1945,3,112,119,569 miles,501-600 miles,0,0
58462300,2002-09-15,WN,Southwest Airlines Co.,N523,2503,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,LBB, Lubbock Preston Smith International,Lubbock,TX,Texas,1630,1655,25,7,1702,1845,3,1825,1848,23,55,53,289 miles,201-300 miles,1,0
58462400,2002-09-15,WN,Southwest Airlines Co.,N504,1978,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,SAN, San Diego International,San Diego,CA,California,1935,1945,10,7,1952,2020,3,2025,2023,-2,110,98,628 miles,601-700 miles,0,0
58483600,2002-09-17,WN,Southwest Airlines Co.,N81,1828,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,AMA, Rick Husband Amarillo International,Amarillo,TX,Texas,1650,1738,48,10,1748,1928,5,1845,1933,48,55,55,277 miles,201-300 miles,1,0
58483800,2002-09-17,WN,Southwest Airlines Co.,N528,2152,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,PHX, Phoenix Sky Harbor International,Phoenix,AZ,Arizona,1325,1325,0,10,1335,1325,5,1340,1330,-10,75,65,328 miles,301-400 miles,0,0
58974300,2002-09-19,UA,United Air Lines Inc.,N373UA,1588,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,DEN, Denver International,Denver,CO,Colorado,1021,1018,-3,9,1027,1126,8,1135,1134,-1,74,76,349 miles,301-400 miles,0,0
58505800,2002-09-19,WN,Southwest Airlines Co.,N634,301,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,LAS, McCarran International,Las Vegas,NV,Nevada,0635,0635,0,5,0640,0655,3,0705,0658,-7,90,83,487 miles,401-500 miles,0,0
58536900,2002-09-22,WN,Southwest Airlines Co.,N641,900,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,AMA, Rick Husband Amarillo International,Amarillo,TX,Texas,1155,1155,0,10,1205,1349,4,1350,1353,3,55,58,277 miles,201-300 miles,0,0
58014400,2002-09-22,AA,American Airlines Inc.,N4TTAA,2848,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,STL, Lambert-St. Louis International,St. Louis,MO,Missouri,1208,1157,-11,8,1205,1458,6,1525,1504,-21,137,127,934 miles,901-1000 miles,0,0
58558400,2002-09-24,WN,Southwest Airlines Co.,N730,1311,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,LAX, Los Angeles International,Los Angeles,CA,California,1900,1900,0,5,1905,1942,5,2000,1947,-13,120,107,677 miles,601-700 miles,0,0
58558500,2002-09-24,WN,Southwest Airlines Co.,N342,1609,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,PHX, Phoenix Sky Harbor International,Phoenix,AZ,Arizona,0700,0700,0,8,0708,0702,3,0715,0705,-10,75,65,328 miles,301-400 miles,0,0
57825700,2002-09-25,AA,American Airlines Inc.,N584AA,622,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,DFW, Dallas/Fort Worth International,Dallas/Fort Worth,TX,Texas,0730,0719,-11,10,0729,0945,14,1012,0959,-13,102,100,569 miles,501-600 miles,0,0
58569500,2002-09-25,WN,Southwest Airlines Co.,N311,1337,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,MAF, Midland International,Midland/Odessa,TX,Texas,1345,1345,0,8,1353,1538,2,1545,1540,-5,60,55,332 miles,301-400 miles,0,0
58569600,2002-09-25,WN,Southwest Airlines Co.,N760,1531,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,SAN, San Diego International,San Diego,CA,California,1245,1245,0,10,1255,1325,5,1330,1330,0,105,105,628 miles,601-700 miles,0,0
58580600,2002-09-26,WN,Southwest Airlines Co.,N388,722,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,OAK, Metropolitan Oakland International,Oakland,CA,California,0835,0933,58,6,0939,1050,3,1000,1053,53,145,140,889 miles,801-900 miles,1,0
57825000,2002-09-27,AA,American Airlines Inc.,N412AA,616,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,DFW, Dallas/Fort Worth International,Dallas/Fort Worth,TX,Texas,1052,1051,-1,8,1059,1308,14,1335,1322,-13,103,91,569 miles,501-600 miles,0,0
58591700,2002-09-27,WN,Southwest Airlines Co.,N354,1118,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,PHX, Phoenix Sky Harbor International,Phoenix,AZ,Arizona,1055,1055,0,8,1103,1106,3,1110,1109,-1,75,74,328 miles,301-400 miles,0,0
58044000,2002-09-28,AA,American Airlines Inc.,N4XYAA,3138,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,STL, Lambert-St. Louis International,St. Louis,MO,Missouri,0631,0624,-7,8,0632,0923,4,0948,0927,-21,137,123,934 miles,901-1000 miles,0,0
59267700,2002-09-29,DL,Delta Air Lines Inc.,N375DA,2098,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,ATL, Hartsfield-Jackson Atlanta International,Atlanta,GA,Georgia,0645,0640,-5,11,0651,1116,11,1136,1127,-9,171,167,1269 miles,1201-1300 miles,0,0
59355600,2002-09-29,HP,America West Airlines Inc.: HP (Merged with US Airways 9/05.Stopped reporting 10/,N150AW,203,ABQ, Albuquerque International Sunport,Albuquerque,NM,New Mexico,PHX, Phoenix Sky Harbor International,Phoenix,AZ,Arizona,0910,0905,-5,7,0912,0909,4,0941,0913,-28,91,68,328 miles,301-400 miles,0,0
